poiid,title,address,lon,lat,category,checkin_user_num,city,checkin_num,checkin_ave
B2094655D664A4FD4693,点将台公寓,,118.719,31.9511,住宅区,20,0025,76,3.8
B2094655D664A4FD469D,梅岭南门,,118.721,31.9519,住宅区,5,0025,9,1.8
B2094655D664A4FD479A,上海梅山第二中学南门,,118.721,31.9493,中学,1,0025,1,1
B2094655D664A4FD479C,梅欣社区西区,,118.712,31.9523,住宅区,8,0025,25,3.125
B2094655D664A4FD4999,四海百货,,118.666,31.939,商场,3,0025,10,3.333333333
B2094655D664A4FE4092,红庙酒家,宁芜公路,118.67,31.934,江苏菜,3,0025,3,1
B2094655D664A4FE439D,中国工商银行南京板桥分理处,振兴路41,118.66,31.9211,银行,2,0025,2,1
B2094655D664A4FE4599,南京雨花台区金胜码头,,118.663,31.9627,港口码头,14,0025,14,1
B2094655D664A4FF439B,上海梅山高级中学,上海南京西善桥梅山矿区秦淮河畔,118.717,31.9521,中学,105,0025,215,2.047619047
B2094655D664A4FF4499,大众花园,,118.729,31.9714,住宅区,21,0025,216,10.285714285
B2094655D664A4FF459B,舒沁咖啡,,118.724,31.967,咖啡厅,66,0025,100,1.515151515
B2094655D664A4FF469F,海天茶楼,,118.719,31.9603,茶艺馆,11,0025,30,2.727272727
B2094655D664A4FF4899,明华家园,西善桥北路101,118.719,31.9602,住宅区,22,0025,50,2.272727272
B2094655D664A5F44093,5.23休闲吧,,118.755,31.9589,生活娱乐,8,0025,10,1.25
B2094655D664A5F4409A,江南码头,,118.677,31.9821,港口码头,7,0025,7,1
B2094655D664A5F44199,东升山庄,南京市西善桥福润雅居对面苏果超市旁,118.732,31.9569,住宅区,84,0025,329,3.916666666
B2094655D664A5F44398,明豪花园,贾东村101,118.732,31.9722,住宅区,27,0025,79,2.925925925
B2094655D664A5F4499C,小四川家常菜,,118.75,31.9631,四川菜,2,0025,2,1
B2094655D664A5F54399,双骏楼大酒店,,118.704,31.9528,旅馆招待所,5,0025,14,2.8
B2094655D664A5F54892,静华公寓,杨村附近,118.654,31.9196,住宅区,21,0025,60,2.857142857
B2094655D664A5FA449F,浦口区桥林镇陡岗中学,,118.468,31.9383,中学,30,0025,39,1.3
B2094655D664A5FA4599,梅山运翔码头,,118.622,31.9382,港口码头,9,0025,12,1.333333333
B2094655D664A5FA459C,将城子古文化遗址,,118.546,31.9629,国家级景点,26,0025,46,1.769230769
B2094655D664A5FA459E,凤翔码头,,118.621,31.9358,港口码头,8,0025,8,1
B2094655D664A5FA4893,南京三桥服务区,,118.61,31.9838,公园户外,123,0025,145,1.178861788
B2094655D664A5FA4898,(南京三桥服务区)餐厅,南京三桥服务区,118.609,31.9851,快餐厅,12,0025,12,1
B2094655D664A5FA499C,板桥派出所,板桥街,118.661,31.9218,警察局,6,0025,12,2
B2094655D664A5FA499D,水利公园,板桥汽渡东,118.649,31.9526,公园,13,0025,15,1.153846153
B2094655D664A5FA499F,南京市板桥小学,,118.657,31.919,小学,7,0025,22,3.142857142
B2094655D664A5FB4092,上海梅山第二中学,,118.72,31.9501,中学,14,0025,24,1.714285714
B2094655D664A5FB409D,上海梅山医院(分院),宁桥北路,118.708,31.9471,医院,19,0025,33,1.736842105
B2094655D664A5FB419D,三江学院,近郊铁心桥龙西路10号(近春江新城),118.75,31.9586,高校中心点,4739,0025,23572,4.974045157
B2094655D664A5FB4292,南京水利科学研究院试验研究基地,,118.748,31.9524,科研机构,13,0025,24,1.846153846
B2094655D664A5FB429E,江苏省地质矿产局第一地质大队,贾东村105,118.734,31.9715,科研机构,12,0025,17,1.416666666
B2094655D664A5FB439C,中国苏酒会务中心,,118.682,31.9224,会展中心,13,0025,27,2.076923076
B2094655D664A5FB439F,爱博美服装(南京)有限公司,,118.682,31.923,公司,3,0025,3,1
B2094655D664A5FB499C,天龙小吃店,,118.747,31.9613,快餐厅,4,0025,6,1.5
B2094655D664AAF4409A,南京市天景山中学,,118.878,31.9438,中学,20,0025,31,1.55
B2094655D664AAF44692,恒安嘉园,江宁区竹山路,118.856,31.931,住宅区,101,0025,419,4.148514851
B2094655D664AAF4469E,致远大厦,天元东路,118.851,31.9335,楼宇,21,0025,114,5.428571428
B2094655D664AAF5409C,欣园阁酒店,江宁区莱茵达路219号(近新亭路),118.858,31.9367,江苏菜,5,0025,5,1
B2094655D664AAF5409E,风和日丽花园,江宁科学园天元东路北侧，上元路西侧,118.862,31.9376,住宅区,12,0025,90,7.5
B2094655D664AAF5479A,天元城摩登道,莱茵达路98,118.856,31.9396,住宅区,19,0025,136,7.157894736
B2094655D664AAF8459F,南京义乌小商品城B区,,118.875,31.9389,小商品市场,20,0025,23,1.15
B2094655D664AAF84799,中国移动通信(南京市天景山中学北),,118.876,31.9503,家电电子卖场,3,0025,4,1.333333333
B2094655D664AAF9469A,椰树座,,118.851,31.9408,住宅区,15,0025,34,2.266666666
B2094655D664AAF9489E,檀香座,成墟路28号,118.854,31.9401,住宅区,40,0025,296,7.4
B2094655D664AAF9489F,花语座,江宁区天元城,118.854,31.9374,住宅区,33,0025,106,3.212121212
B2094655D664AAFA409B,天元城幼儿园,,118.854,31.9389,幼儿园,8,0025,31,3.875
B2094655D664AAFA459C,金宝天印山农副产品批发大市场,,118.861,31.9432,便民商店/便利店,25,0025,37,1.48
B2094655D664AAFB4293,能林牛肉面炒菜馆,,118.874,31.9444,中餐厅,2,0025,2,1
B2094655D664AAFB439E,南京市江宁欣荣幼儿园,,118.875,31.9415,幼儿园,12,0025,17,1.416666666
B2094655D664AAFB439F,操记酸菜鱼馆,,118.876,31.9409,中餐厅,6,0025,13,2.166666666
B2094655D664AAFB489D,南京江宁科学园综合管理办公室,,118.844,31.9214,公司,7,0025,25,3.571428571
B2094655D664AAFB4992,潭桥公寓北园,,118.849,31.9249,住宅区,143,0025,329,2.3006993
B2094655D664AAFB499B,观竹苑,,118.842,31.9293,住宅区,43,0025,118,2.744186046
B2094655D664AAFC499D,基督教东山中心堂,,118.872,31.957,教堂,23,0025,30,1.304347826
B2094655D664AAFD4493,春晓·风荷苑,江宁开发区,118.863,31.9324,住宅区,9,0025,39,4.333333333
B2094655D664AAFD449D,城开·景祥佳园,宏运大道4599号,118.86,31.9676,住宅区,131,0025,561,4.282442748
B2094655D664AAFD459A,江宁区方山街道社区卫生服务中心莱茵东郡社区卫生服务站,,118.86,31.9356,医院,4,0025,6,1.5
B2094655D664AAFE429F,机场村流动人口管理站,,118.844,31.9767,生活娱乐,2,0025,2,1
B2094655D664AAFE4392,比家美,富民路,118.845,31.9771,江苏菜,1,0025,3,3
B2094655D664AAFE4592,天乐池大浴场,江宁区上元大街,118.869,31.9592,洗浴推拿场所,3,0025,7,2.333333333
B2094655D664AAFF409C,教工新寓(文华街),文华街50,118.843,31.9624,住宅区,11,0025,132,12
B2094655D664AAFF4198,西部面馆(康馨花园北),文靖路59号,118.842,31.9601,中餐厅,1,0025,4,4
